id,false_sent,connector,explanation0,explanation1,explanation2,label
630,She rubbed trash on her face., This is false because ,No one uses trash to put on makeup.,The trash is black is the colorful makeup.,The trash doesn't use makeup.,0
631,He went to science laboratory to play cricket, This is false because ,Cricket should be played in play ground and laboratory is an indoor place,Science laboratory is far from his home,He is not good at science,0
632,The family takes a family vacation to space., This is false because ,It is impossible to take family trips to space.,Space will be the new generations for years to come to visit on a daily bases.,Space is a fun learning topic for family to visit the museums.,0
633,cancer causes smoking, This is false because ,cancer causes death not smoking,smoking and cancer are related to each other,smoking can affect health,0
634,Ryan is calling his mom with the radio., This is false because ,Moms don't own radios.,Radios don't make phone calls.,Ryan's radio is broke.,1
635,A fire can be extinguished using wood., This is false because ,"Fire can warm you up, wood can't.",A wood box wouldn't hold fire well.,"Wood is flammable, and wouldn't put out a fire.",2
636,The temperature is high in Antarctica., This is false because ,Antarctica has a lot of ice all around.,Antarctica is usually a very cold place.,Antarctica is where polar bears are.,1
637,She was eating a chair, This is false because ,an ice cream is softer than a chair,"Ice cream is eatable by human beings, chairs are not",a chair cannot eat an ice cream,1
638,He ate dinner at a laundry, This is false because ,Dinner plates are not washed in a laundry,A laundry is for washing clothes,People from laundry also go to restaurant,1
639,To be healthy you should make sure to give someone vegetables everyday., This is false because ,People can buy their own vegetables at the store,"You need to be eating vegetables to be healthy, so you need to get them, not give",Many vegetables are not in season all the time.,1
640,The boy happily chewed a piece of glass., This is false because ,Glass is too hard to be happily chewed.,Glass is the material windows are made of.,Most types of glass are transparent.,0
641,She goes flying in the pool., This is false because ,She swims in a pool that is high and watching airplanes fly.,You can not fly in a pool.,Flying over a swimming pool in a plane she watches people swim from above.,1
642,An opera is a type of party, This is false because ,There can be an opera is a specific party,"There are types of parties, but operas are not generally regarded as a party",You can pay money to enter a party or an opera,1
643,Angela called the commercials because she was at risk, This is false because ,The commercials and the police can be both called by Angela,The commercials cannot help people at risk in any case,The commercials can call Angela in a risky situation,1
644,We ate a house for lunch., This is false because ,"a house is for shelter while lunch is fun while eating with family,",A house cannot be eaten for lunch.,A house cannot eat a family.,1
645,There was an elephant inside the can., This is false because ,An elephant is too big to get into a can.,Elephants prefer more spacious environments.,It is not common to see elephants inside cans.,0
646,Part of walking a toaster is cleaning up after them., This is false because ,"Toasters have a bottom, so you don't have to clean up after them.",The leash wouldn't fit on the toaster.,Toasters don't need to be walked.,2
647,He put an electric fan on painting., This is false because ,Electric fan are usually helpful while its a hot season while painting is a hobby.,Electric fan cannot be used in painting.,Electric fan cannot eat painting.,1
648,sun makes the earth cold, This is false because ,sun shines and some parts of the earth are still freezing,sun is so hot but inside my fridge which is on earth is freezing,sun is hot and makes the earth warm not cold,2
649,The boy throws a pig., This is false because ,"Boys can not throw pigs,",Boys can throw scraps for pigs to eat.,Pigs can not be thrown by a boy.,0
650,The bar is useful when you have a hygiene issue., This is false because ,You do not go to  bars to adjust a hygiene issue.,Bars can can create multiple hygiene issues.,Bathrooms can be place to hide when you are afraid of people.,0
651,My snake enjoys singing in the shower., This is false because ,Snakes do not take showers.,Snakes are unable to sing.,A snake cannot hum.,1
652,SHE LOVES TO EAT A BOAT., This is false because ,A BOAT CAN FLY IN THE SKY WHILE CRABS CAN TALK.,A CRABS LIVES ON A BOAT.,A BOAT IS NOT A FOOD.,2
653,You can find bricks in a groceries store, This is false because ,A groceries store does not sell materials for building a house,"A brick is not edible, but chocolate is",A groceries store that sells chocolate is made of bricks,0
654,You will find ships at an airport, This is false because ,Ships are much larger than aircraft,It is difficult to bring ships to an airport,Ships are found only at sea and seaports,2
655,She died from a finger touch., This is false because ,you can not die from someone touching you with a finger.,Gun shot causes death all around everyday,She died when gun was used on her .,0
656,You find mouses in a school, This is false because ,Mouses are smaller than students,Mouses and students are animals,"If there are mouses in a school, they are exterminated immediately to not affect the correct functioning of the school",2
657,Generally people sleep during day, This is false because ,There is lesser noise at night,Generally people work in day time,Date changes at 12 midnight,1
658,Being alone is usually very funny for dogs, This is false because ,Dogs like making noise,Dogs are friendly and like being around people,dogs don't like eating,1
659,Raccoons often read picture books., This is false because ,Raccoons don't actually read books.,Raccoons can break into garbage cans.,Raccoons are small and furry creatures.,0
660,He went for fishing to a river and caught one tiger, This is false because ,Tigers don't allow one to catch them,Tigers don't like to live in river,During fishing one catch only fish,2
661,Golfers play athleticism, This is false because ,Golf and athleticism are sports with human beings,Golf and athleticism are Olympic sports,"The word golfers comes from the game ""golf"" and consequently, can only be used when playing golf",2
662,You can park a truck in a parking lot, This is false because ,Truck usually have got specific parking lots for them,Trucks can be parked as motorbike do,A motorbike is smaller than a truck,0
663,Her favorite hobby is to swim in the skate park., This is false because ,It's not possible to swim in a skate park.,Skate parks are usually bigger than pools.,Skate parks are usually more crowded than pools.,0
664,He kicked an anvil into the post., This is false because ,Anvils are of iron and wooden beam.,Anvils cannot play soccer.,Anvils are not made to play ball.,2
665,A cop pointed his gun at a thief and fired a rock, This is false because ,Guns are not used to fire rocks,A rock is larger than guns,A rocks is not in proper round shape,0
666,There was a mammoth in the zoo., This is false because ,Mammoths are not found in zoos.,It is not common to see mammoths in zoos.,Mammoths are extinct.,2
667,John drove his car to the moon after dinner, This is false because ,A person can't drive a car to the moon,The moon is grey and a car can also be grey,The moon is much bigger than a car,0
668,all mountains are in river, This is false because ,river cant occupy mountains,lot of water is collected in mountains,river supply a great quantity of water,0
669,The woman Flies in a box., This is false because ,You can not fly in boxes.,Boxes can be a fun pretend for kids to think they fly.,Hot air balloons are the womans favorite activity to do for fun.,0
670,Money is low demand to live., This is false because ,Money can create greed in family.,No money means you become homeless eventually.,Money is essential to live a life.,2
671,Doctor arrested the criminal, This is false because ,There are few doctors and many criminals in the city,Doctor uses knife and scissor,Doctor is someone who practice medicine and does not handle crime,2
672,I went to the Cinema to pick up my eye prescription., This is false because ,A cinema has an art performing theatre while a hospital has a surgical operating theatre.,A cinema does not employ an eye or any other prescription doctors.,Eye prescription can be gotten from an eye hospital.,2
673,"The last thing you do when you go to see a movie, is buy popcorn.", This is false because ,You would not buy popcorn after you have already seen the movie.,Going home is easier to do after a movie.,Buying popcorn makes more sense to do before you see a movie.,0
674,He needs to play hard to pass in the examination, This is false because ,His examination hall is away from the play ground,He cannot attend examination while playing,To perform well in the examination he needs to study hard,2
675,He filled water in a pen, This is false because ,Pen comes in different color and water is colorless,Pen is an object used to write and cannot store water,The cost of pen ranges from cheap to costly,1
676,He cooked a recipe that he has seen on the oven, This is false because ,Oven is in kitchen table and kitchen is a small room,Oven is a cooking device and cannot be used to watch tv show,Oven makes noise when turned on and he does not like noise,1
677,The girl ate a diamond., This is false because ,Diamonds are transparent and people are fleshy.,People can't eat diamonds.,Diamonds cannot eat brigadiers.,1
678,He put a fly in the fridge., This is false because ,Flies are smaller than fridges.,Flies are black and fridges are white.,Flies cant eat fridges.,0
679,You can drive your car to a boat, This is false because ,A boat and a museum are places,A car cannot float the sea by itself,A boat cannot drive to a museum,1
680,during war soldiers started texting to enemy, This is false because ,soldiers text always due to limited access to mobiles,soldiers will always try to convince enemy,at war texting to enemy is foolish thing to do,2
681,His car kept dancing so he brought it in to his mechanic., This is false because ,A car may be parked in a garage or on the street.,A car is a major purchase for the average person.,A car is an inanimate object and is unable to dance.,2
682,Before driving a car you have to drink a lot of alcohol, This is false because ,Drinking alcohol before driving is forbidden and dangerous,"Drinking alcohol before driving is not enough, you also have to smoke pot.","Drinking alcohol is necessary before doing a lot of things, not just driving.",0
683,We eat dinner in the afternoon, This is false because ,Dinner is generally the last of the meals when there is almost no sun,You can eat a meal in the afternoon but not the dinner,Dinner is the last of the meals after afternoon,0
684,She let her dog drive her car, This is false because ,A dog has paws and a car has wheels,A dog cannot drive a car,A dog can''t buy a car,1
685,Jhone have a pet tiger, This is false because ,both tiger and cat are carnivorous,tiger have lack strips all over it body,Tiger cant be a pet its a wild animal,2
686,If ou want to sail the sea you need a motorbike, This is false because ,a motorbike sinks in the sea,a motorbike doesn't have a helm,you cannot go below deck on a motorbike,0
687,You can go for swimming in a basketball court, This is false because ,A basketball court has two baskets,A basketball court has two nets,A basketball court does not have water to swim,2
688,She went to the beacg to watch a new movie., This is false because ,You can visit the beach to go to the movies to see the new releases.,The beach is a fun vacation for a summer getaway.,New movies are warched at the movies.,2
689,He was driving the car on the sea, This is false because ,Car has four wheels and four doors,Car cannot float on water,Car comes in different color,1
690,Sports are a great way to create people, This is false because ,People do not like to be made by sports,Sports do not create people.,Meeting people will create sports.,1
691,biting on the computer is easy., This is false because ,Writing on the computer while biting your lip can mean you are anxious.,You do not bite the computer.,Writing about biting issues on the computer can be a fun writing assignment.,1
692,Aliens write books, This is false because ,Women can have alien behavior towards men,Women and alien have not met yet,There are no aliens on earth,2
693,He killed a man with cotton candy., This is false because ,cotton candy is soft while rock is hard.,cotton candy is a soft material which cannot be used as a weapon.,cotton candy cant lift weights.,1
694,he drank a well of water, This is false because ,a glass cup is found is in the house while a well is outside,a glass cup is transparent while a  well  is not,a well of water cannot finish,2
695,Classical Music is all about Moshing., This is false because ,Punk music can be a fun concert event to let a lot of energy out.,Classical music can be incorporated into punk music.,You will never mosh during classical music. Defeats the purpose of classical music.,2
696,Susy cleaned her home with pork grease, This is false because ,Pork grease doesn't have the same smell as bleach,"Pork grease makes objects dirtier, not cleaner",Pork grease is not liquid,1
697,The golfer went into the golf hole, This is false because ,golfers are on the golf course,golfer hits the golf ball,The golfer is too big for the hole,2
698,she used stick to cut fish, This is false because ,stick is used to catch fish,fish is available in rivers,with stick fish can not be cut,2
699,Travis rides his cat to school., This is false because ,Travis loves his cat and would not ride him.,House cats are too small to ride.,Travis' cat is a boy.,1
700,Everyday he opens his shop and starts throwing dirt on the floor, This is false because ,Floors are usually clean and he wanted to change the style and make it dirtier,Customers wouldn't come back to a shop with dirty floors.,"When opening the store, he would want the floors as clean as possible",2
701,Icecream is baked in an Oven., This is false because ,Icecream cannot be baked and is made in Freezer.,Icecream and cake can be stored in Refrigerator.,Icecream and Cake both have same vanilla flavor,0
702,Biker puts liquid in bike tank, This is false because ,bike is solid and gasoline is liquid,biker rides the bike and not gasoline.,Any liquid cannot run the bikes engine,2
703,He boiled the petrol to drink, This is false because ,Petrol tastes bitter,No one drink petrol,Petrol is too costly,1
704,He drives a rocket in the road, This is false because ,Rocket can only fly in the sky,Rockets are bigger so as the roads can be,Cars cannot fly,0
705,Texas is a small state., This is false because ,Texas is used to be a large country.,Texas will always have a large population.,Texas is one of the largest states in the united states.,2
706,A plane landed in the garage., This is false because ,It is not common to see airplanes landing in garages.,"Airplanes land at airports, not garages.",It is safer for a plane to land at an airport.,1
707,The boat is in the mud., This is false because ,Boat are used for boating.,A boat should be on the lake.,boats cannot eat mud.,1
708,He cooked sphegatti in his clinic, This is false because ,Clinics are meant for treatment,sphegatti is cooked in the kitchen and treatment is given in clinic,clinics are small for a good treatment,0
709,You must circulate as a pedestrian on the road, This is false because ,There are specific paths for pedestrians in which cars cannot enter,"Cars are driven by humans, and pedestrians are humans",Cars road is wider than a pedestrian path,0
710,He put fish on the chair., This is false because ,A fish cannot be put on the chair because it has no water.,Fish lives on water while chairs are one of the basic furniture on the house.,Fish cannot eat chair.,0
711,Bathrooms come equipped with candy canes., This is false because ,"Candy canes are striped, bathrooms are solid colors.","Candy canes are peppermint, and toothpaste is spearmint.",Candy canes are not found in bathrooms.,2
712,Something you will find at a zoo is a Lathe, This is false because ,A lathe is found in machine tool workshops,A lathe does not move its own,A lathe keeps rotating when operated,0
713,A comb can be used to tape television show., This is false because ,No one uses comb to record on television.,Comb is used for hair while television is for entertainment.,A comb is not an electronic item,0
714,Train will leave the airport in ten minutes, This is false because ,Trains are longer than aircraft,Trains are operated from the railway station,A train can't enter an airport,1
715,He filled the bathtub with a car, This is false because ,The bathtub is to small for a car.,Cars will not float on water,A car cannot hold water,0
716,You can use a table to live in, This is false because ,Table is usually rectangle in shape just like some house,Table is too small for a person,A person is much bigger than a table,2
717,Jack put the stack of buses in his desk, This is false because ,A stack of buses can not fit into a desk,Buses and a desk are both made of metal,Buses and a desk can both be yellow,0
718,He goes to a bar to do fitness workout, This is false because ,A bar is in the next building of gym,A bar is expensive comparing to a gym,Bars serves alcoholic drinks and food,2
719,My mom turned on the tv like a brick., This is false because ,Bricks are clay while the tv is plastic.,Bricks do not watch TV channels.,Nobody connects a TV with a brick.,2
720,Kerosene is necessary for cultivation, This is false because ,kerosene is blue in color,Kerosene is a fuel,with kerosene crop will increase,1
721,Jack put his car in the washing machine, This is false because ,Cars are not washed in washing machines,Cars and washing machines are made of metal,Cars and washing machines can both be black,0
722,This film was directed by the famous plumber, This is false because ,Plumbing profession is not related to film making and the person who make film is called director,Plumbers wear uniform while working,Plumbers work for daily wages,0
723,He turned on the fan since it was dark, This is false because ,Fan makes noise,Fan does not illuminate room,Fan has three wings and the room has 4 walls,1
724,He typed 400 words in 10 minutes with his electronic cigarette., This is false because ,An Electronic Keyboard has a rectangular shape while an electronic cigarette has a cylindrical shape.,An electronic cigarette cannot be connected to a computer unlike an electronic keyboard.,A cigarette has no typing keys on it.,2
725,He jumped from the fridge to commit suicide, This is false because ,Fridge is too small in height and people will not get killed jumping from fridge,Fridge is too costly to afford,Fridge makes food cool and people eat food,0
726,You can whistle to salute a person formally, This is false because ,The act of whistling is only used in informal cases,Whistling and waving can be used to salute a person,Whistling and waving requires your hand,0
727,Making money is silly for any human., This is false because ,Making money is not silly because any human living needs money to survive.,Making money can be done at home with a printer.,Printers can create any money from all countries.,0
728,The table sits on the dishes., This is false because ,Dishes are colorful.,A table is much larger then dishes.,Tables do not eat.,1
729,Death happens when you are breathing but never wake up., This is false because ,Death can be slow and painful process.,Death can be happening as you slowly are taking you last breathing.,You can not be in death and still breathing.,2
730,The parrot reads a book., This is false because ,The book is about a parrot who lives in a shoe.,The child has a parrot that can speak on command,Parrot can not read books.,2
731,He wants to become a baby, This is false because ,To be become a baby is not possible practically,People love babies very much,Babies are innocent,0
732,cats and fish can be pals, This is false because ,cats will eat the fish,Fish love to watch cats in a fish tank and tease teh cats,Dogs can be very loving animals with all animals.,0
733,An ocean is larger then the sun., This is false because ,Both the sun and oceans exist in our solar system.,The sun is much larger then any ocean.,Oceans exist on earth while the sun does not.,1
734,They put monster at the cafe., This is false because ,Monster eat human while cafe serves foods.,Monster cannot eat cafe.,Monster is not allowed inside the cafe.,2
735,He put worms on his menu., This is false because ,Worms cannot be put on a menu.,Worms usually crawls while menu is a list of foods in a restaurant.,Worms cannot eat menu.,0
736,He went to the grocery store to buy a car., This is false because ,Grocery stores are too big compared to cars.,Grocery stores don't sell cars.,Grocery stores can't move while cars can.,1
737,He put vinegar into his coffee, This is false because ,Vinegar does not go in coffee,Both milk and vinegar are liquids,Vinegar is a food,0
738,The President is joker maker., This is false because ,The President does not make jokes for a living .,The President probably jokes around with his children on a daily bases.,The President joking as a career would be a massive disaster.,0
739,He closed one eye means he closed both eyes, This is false because ,He can close or open any eye any time,He can close both eyes together any time,One has two eyes and one is closed the other one is open,2
740,A sword is a type of knife, This is false because ,A knife is smaller than a sword,A sword and a knife have got a pointing tip,"It is the other way around, a knife is a small type of sword that is used for a great variety of purposes",2
741,He was unhappy in his job and decided to try and find some new kitchen appliances., This is false because ,Purchasing new home kitchen appliances has no impact on one's job satisfaction.,Some people may have many jobs in a lifetime and appliances are a big help in the kitchen.,Appliances sometimes have a stainless steel finish and jobs can be difficult to get.,0
742,A television is squared, This is false because ,"The television format is 16:9, which is not a square",A rectangle and a square are basic 2D shapes,A rectangle and a square area formula are the same,0
743,Usually people sleep in kitchen, This is false because ,people have access to food from kitchen,usually kitchen is used to cooking food,all houses are built with kitchen,1
744,Scientists sent satellite in a car to space, This is false because ,Car is a road vehicle and cannot be used for space travel,Car is red in color and satellite is yellow in color,Car gives less mileage,0
745,You will be buying vegetables from the theater, This is false because ,No one will sell vegetables in a theater,Staff don't allow to cook vegetables in theater,Vegetable market is near to theater,0
746,A microwave is a communication device, This is false because ,a microwave is a device that needs electricity,a microwave is not for communication but for heating up meals,you cannot touch communication but you can touch a microwave,1
747,while she watching the river a fish said to her stay away, This is false because ,fish is always seen in river,people like to eat fish,fish have no ability to talk,2
748,He slept in the freezer, This is false because ,A freezer is too small to fit a human and too cold to be comfortable for sleeping,A freezer doesn't have enough pillows,A freezer doesn't have a nightlight.,0
749,The last thing you do when you take a course is have an introduction, This is false because ,some courses don't have introductions,introduction to a course can be dull and not stimulating,introduction is the taken at the beginning of a course,2
750,Sally eats her own paper to pass the class., This is false because ,Paper can be edible if you make it that way.,A human does not eat paper.,Sally loves to eat while writing her paper so she will pass the class.,1
751,Children play soccer with a gerbil, This is false because ,a gerbil looks like a ball,A ball is a toy children can kick around,balls are furry like a gerbil,1
752,she had stone with her to eat, This is false because ,stone can be available easily,stone cannot be eaten,stone is heavy to lift,1
753,The dog fell in the tea cup, This is false because ,Dog has four legs and tea cup is round in shape,Dog is too big than the tea cup,Dog barks and tea tastes good,1
754,He won the whole universe., This is false because ,Universe is wide while winning a 100 dollars is a great luck.,Universe cannot be won.,Universe cannot eat dollars.,1
755,Sue likes to wear boxes to the beach, This is false because ,You do not wear boxes to the beach,It is fun to bring a box to the beach and use it to put shells in,Sue lives on the beach,0
756,Barbie is RObots girl., This is false because ,Barbie can have a robot in the futuristic Barbie.,Ken and Barbie make the perfect couple.,Barbie is known to be kens partner,2
757,The plant grows on pluto., This is false because ,Plants on earth can grown in random climate weathers.,Pluto does not contain any life but one day plants will grow there.,Plants only grown on earth not other planets.,2
758,he drove a baby, This is false because ,babies are usually people while cars are machines,a baby does not have an engine,you can't drive a person,2
759,She lit herself a candy bar., This is false because ,You can't smoke a candy bar.,"Candy bars have chocolate in them, cigarettes have tobacco.",Candy bars don't have tobacco in them.,0
760,Susie eats hair for a living., This is false because ,Eating hair is unnatural and is known a disease.,It is impossible for susie to eat hair.,Susue cutting hair is for a charity she supports for cancer.,1
761,He took spoon for headache, This is false because ,spoon is an utensil and does not treat disease,Spoon is made of steel and is easily gets rusted,Spoon is hard to digest,0
762,You can use a car to fly, This is false because ,cars are red and going places is fun,cars do not fly,a blue car is pretty and going places is hard,1
763,I put the books in the washing machine., This is false because ,Machines for washing books may not be available.,We don't wash books ever.,Books may become clean after washing.,1
764,When you are sick you go to a lawyer, This is false because ,Lawyers wear black coats,Lawyers deal with court and cases,Lawyers deal with legal matter,2
765,He bought a truck at the local grocery store., This is false because ,Grocery stores don't sell trucks.,A truck can't usually go through a grocery store's door.,Trucks are more expensive than what's usually sold at grocery stores.,0
766,"A child Might call her father ""Bro""", This is false because ,"A child will call only her brother as ""Bro""",A child is a sister for her brother for the same father,A sister cannot be born to a brother,0
767,Killing people is a very common hobby, This is false because ,Killing people is expensive,Killing people takes too much time,killing people is morally wrong and against the law,2
768,Fishing roads are used to catch bears, This is false because ,Bears can be caught by other artifacts,Fish is smaller than bears and they are animals,Bears inhabit land areas whereas fish are in the water,2
769,Computers is an ingredient used in preparing food, This is false because ,Computers are not used for food and they are not edible,You can pour sugar in a computer,Computers do not need sugar to work,0
770,The plane is flying between the planets., This is false because ,Planes are steel and planets are sand.,The plane cannot go into space.,Airplanes cannot catch a comet.,1
771,He used his motor bike to cut the grasses., This is false because ,A motor bike travels on speed while a lawnmower does not.,A Motor bike cannot cut grasses.,A motorbike does not not have any blade part.,1
772,I ate a pile of shells for breakfast, This is false because ,Shells and teeth can both be white.,Shells are small enough to fit in a mouth,People don't eat hard shells for food,2
773,Seeing is a learning task., This is false because ,Singing is beautiful to hear live.,Lessons to sing can be really easy for anybody.,"Seeing is a natural sense, compared to singing which you take lessons to learn.",2
774,She cant hold hunger she ran in to a hospital, This is false because ,Hospital will only provide medicine not food,Hospital will help patience to recover their ill,Some patience will have to get admitted in hospital,0
775,The doctors composed a song in a studio, This is false because ,there are very few doctors in the city,People who compose musics are called musicians and who practice medicine are called doctors,The doctors are too busy attending the patients,1
776,Old books are worse than new books, This is false because ,It is generally accepted that books quality remains the same as before,Old books contain the same words than new books,Old books and new books have got different titles,0
777,The Unicorn lives in the barn, This is false because ,Pony can become a unicorn during a unicorn event.,Pony do not create Unicorns on a daily basis.,Unicorns do not exist.,2
778,Soda that is kept in the sun turns into a slush., This is false because ,Soda can turn into a slush in a blender with ice.,Soda can be fun slushier project in the summer.,Soda cant freeze unless it is kept cool.,2
779,The water from the shower is sticky., This is false because ,"Honey is sticky, so it could be honey, not water.",Water is not sticky.,Showers already have a sticky floor.,1
780,He put zebra on the washing machine., This is false because ,Zebra cannot be put on the washing machine.,Zebra is a wild animal washing machine is a a tool for cleaning dirty clothes.,Zebra cannot eat washing machine.,0
781,Kneecaps are usually located on faces., This is false because ,Most humans have exactly 2 kneecaps.,"Kneecaps are found on legs, not faces.",Kneecaps are harder than leg muscles.,1
782,I put the oven in the car., This is false because ,Ovens are hot and shouldn't be in a car.,Cars have four wheels.,An oven cannot fit into a car.,2
783,He visited a vet to purchase a painting, This is false because ,We need to take appointment to visit vet,There are many vets in the city,Vet deals with animals,2
784,You are likely to find a hotel room in Idaho., This is false because ,Hotels and hotel rooms can be found locally outside of town in your state.,Hotels are also found in many states.,Idaho is pretty much a city state.,0
785,She talked her dog down the street., This is false because ,dogs are animals and she is a person,dogs cannot walk people,a person cannot talk a dog,2
786,the pet cat was chasing the street dogs, This is false because ,Cat will not chase dogs as per the nature,Street dogs are in many colors,Cat does not go to gym,0
787,The NBA is a tennis league, This is false because ,Basketball and tennis have both different leagues,Basketball and tennis are played with a ball,The NBA is a worldwide known basketball league from the US,2
788,Situation: You drink whiskey mixed with petrol., This is false because ,Petrol is costlier than soda,Petrol color is similar to whiskey,Petrol consumption causes severe intoxication,2
789,He used a brick to call the ambulance., This is false because ,Bricks are heavier than cellphones.,Bricks don't have buttons like cellphones.,Bricks can't be used to make calls.,2
790,People go to the butcher to have their hair cut., This is false because ,Butchers cut and prepare meat to sell.,Butchers don't have hairdriers,butchers cannot dye hair,0
791,"Music is a tasting activity,", This is false because ,Music is fun when eating food.,You do not taste music to eat. You listen with your ear.,Music is the sol of the heart.,1
792,Eat sharks rather vegetables., This is false because ,Sharks lives in the ocean while vegetables are foods,Sharks cannot be eaten while vegetables are good for the health,Shark cannot vegetables.,1
793,The air is super cool in egypt, This is false because ,Antarctica is known for the polar bears to live,Egypt is known to be hot and not cool.,Egypt will be covered in sand during a sand storm,1
794,The astronauts went to the sun., This is false because ,The sun is far too hot to get close enough to land on.,The sun is a star.,The sun is bigger than the moon.,0
795,Stanley keeps his computer in his pocket at all times., This is false because ,A computer could never fit into any ordinarily-sized pocket.,A computer could vaguely include smartphones.,The size of the computer could be smaller than a deck of cards.,0
796,You put  luncheon meat  in the toaster to make toast., This is false because ,"Because you use bread to make toast, not  luncheon meat .",Because  luncheon meat  is made of meat and toast is made of bread., luncheon meat  is kept in the fridge while bread is kept in the pantry.,0
797,The girl dove in the mud on the beach., This is false because ,The mud is black and the water is transparent.,No one dives into the mud because it is contaminated.,The mud does not dive into the water.,1
798,Automobiles use gasoline fuel, This is false because ,Gasoline automobiles and electric automobiles are used for transport,There are automobiles with alternative fuel like electric cars,Gasoline automobiles and electric automobiles usually have got four wheels,1
799,A wallet contains teddies, This is false because ,Tickets are smaller than teddies,Teddies and tickets words start with a t,Teddies cannot enter wallets as tickets can,2
800,people like to smoke trees, This is false because ,no one smokes trees as smoking thing .,trees can be burn and have a smoke like cigarettes,trees' shapes are like cigarettes but much bigger,0
801,He wrote his name on the white paper with blue water in his right hand., This is false because ,Water are liquids while a pen is solid.,Water soaks and destroys paper.,Water cannot be held with the hands.,1
802,You can use a chair to warn., This is false because ,A chair can't yell at you to warn you.,A chair can't walk at you,A chair cant point at something neither has the common sense to warn about something.,2
803,Working is an pointless task in life., This is false because ,Working for free can be very effective on the mind.,Working is learning task.,Working is never pointless.,2
804,A dog was flying in the sky, This is false because ,Dog has tail and bird has beak,Dog does not have wings,Dog barks at the thief,1
805,One dog can eat a whole whale., This is false because ,Dogs can chase chickens all day.,Dogs can not eat a whale all by themselves,Chickens are small compared to whales.,1
806,the girl zaps for a car., This is false because ,A girl can make a zap decision to purchase a car.,A girl zaps her brain with car selections to choose from.,A girl can not zap a car.,2
807,You need a map to type on a computer, This is false because ,computers are electric and keyboards are complex,you don't need a map to type and you can't type with a map,keyboards are on typewriters and computers have a screen,1
808,Walls are never painted, This is false because ,Painted walls need to be repainted often,Painted walls can be painted after buying a house,Walls will always have a colour in spite of its condition,2
809,Shoes are worn on hands, This is false because ,Shoes are bigger than hands,Shoes are used only as footwear,Shoes are available for foot sizes,1
810,Breeze can destroy a building, This is false because ,Breeze is a wind with low speed that cannot cause destruction,Breeze and fire can be caused by nature by itself,Fire is more destructible than breeze,0
811,I drove my car into my hand luggage., This is false because ,A driven car is lager than a hand luggage.,A house garage is built while a hand luggage is made.,Hand luggage is smaller than a house garage..,0
812,He eats from a gasoline bowl, This is false because ,Gasoline is toxic for humans and is not edible,Gasoline can enter in a cereal bowl,Cereal and gasoline are both manufactured,0
813,I kiss sun every mooning., This is false because ,Sun rises at the east.,The Sun is the star at the center of the Solar System,sun and moon is brother and sister.,1
814,You find monitors in a graveyard, This is false because ,A monitor is smaller than a grave,Graves and monitors can be bought in a store,"A graveyard is a place where the graves of people rest, not monitors",2
815,Birds lay cars., This is false because ,Birds only lay bikes that are blue.,Birds cannot build a nest big enough to lay a car.,Birds cannot physically lay a man made machine such as a car.,2
816,Rabbits are animals you can ride on., This is false because ,Rabbits can appear in many colors.,Some people call rabbits bunnies or hares.,Rabbits are too small for you to ride on.,2
817,he rode his unicorn to the town square, This is false because ,unicorns horns get in the way of the saddle,unicorns are mythological creatures and therefore no one is able to really ride one anywhere,unicorns do not like to get dirty letting people ride them,1
818,Boiling water is cold., This is false because ,Water boils at 100 degrees celcius.,If water is boiling it must be hot.,You can boil water in a kettle.,1
819,He like to eat wallet, This is false because ,There is some money in the wallet,Wallet is not eatable,She has to pay the bill using the wallet,1
820,Sarah has got three hundred mates in her apartment, This is false because ,three hundred mates is more than three mates in Sarah's apartment,Three hundred and three are different numbers for Sarah's apartment,Sarah would not be able to live in her apartment with so many people,2
821,She poured trees into a cup., This is false because ,Trees are not liquid or are small enough for cups.,Trees will sometimes stare at you.,Trees don't stand on cups.,0
822,The hangar entered the airplane, This is false because ,Hangar is a place to let airplane and is not an object to enter into airplane,Hangar is too heavy and bigger in size,Airplane is too small to let hangar in,0
823,The woman cooked a delicious dress., This is false because ,People do not cook clothing.,Dresses might catch fire so they are always uncooked.,Dresses do not taste very good.,0
824,Swimming is something anyone can do., This is false because ,Swimming can be really good exercise.,Not everyone knows how to swim.,Swimming is something you need water for.,1
825,Sound is sense for your hair., This is false because ,You can feel sound through touch of vibrations.,Sound is funny sense to have when you hear something hysterical.,YOu can not hear sound through your hair.,2
826,She kisses her snakes every night, This is false because ,Snakes prefer a handshake over a kiss.,Snakes don't even have mothers.,Snakes are not something a mother would kiss.,2
827,Women are always the parents of someone., This is false because ,Not all women actually have any children.,Women are capable of a process called childbirth.,Women can produce milk from their breasts.,0
828,The mechanic sank  my car while it was in the shop., This is false because ,Sinking cars would brake the car.,The mechanic does not sink cars.,"If a mechanic sinking a car , that would appear to be suspcious.",1
829,"When there is a serious accident, you call 922", This is false because ,911 is the correct number for emergency services,911 and 922 are both numbers,911 and 922 share the first number,0
830,She gets scared by watching happy movies., This is false because ,Happy things like clowns can make she scared in horror movies.,You do not get scared by watching happy movies you get happy.,Horror movies are scary when they represent your worse fear.,1
831,He found a missing fridge inside his wardrobe., This is false because ,Wardrobes usually have more doors than fridges.,Inside a fridge is cooler than inside a wardrobe.,A fridge doesn't fit inside a wardrobe.,2
